,Code,PT,DOMES,Description,Lat,Lon,Height
248,MEM2,A,49867S002,Memphis 2,35 27 56.5,269 47 38.2,46.6
249,CSN1,A,49910S001,CSU Northridge,34 15 12.7,241 28 34.2,261.4
250,STP1,A,49870S001,St Paul 1,44 18 14.2,268 05 48.0,353.7
251,KYW1,A,49852S001,Key West 1,24 34 56.1,278 20 49.0,-13.8
252,CHA1,A,49851S001,Charleston 1,32 45 27.2,280 09 25.6,-29.1
253,KOK1,A,49896S001,Kokole Point 1,21 59 00.5,200 14 30.5,23.6
254,IISC,B,22306M002,"Bangalore, India",13 01 16.2,77 34 13.3,843.7
255,MDVO,B,12309M002,"Mendeleevo, Moscow Reg",56 01 38.9,37 13 24.9,254.8
256,DQUA,A,77000P313,Dequeen,34 06 38.3,265 42 36.3,169.7
257,MAC1,A,50135M001,"MacQuarie Island, Sub-",-54 29 58.3,158 56 08.9,-6.8
258,KEN1,A,49995S001,Kenai 1,60 40 30.2,208 38 59.3,56.2
259,GALA,B,42005M001,"Galapagos Island, Ecua",-0 44 33.7,269 41 46.9,7.4
260,HOLC,A,40404M101,"Pearblossom, CA",34 27 29.4,242 09 17.4,1238.1
261,WSLR,A,40141M001,Whistler,50 07 35.5,237 04 43.7,909.3
262,WUHN,A,21602M001,"Wuhan City, P.R. China",30 31 53.9,114 21 26.1,25.8
263,KARR,A,50139M001,"Karratha, Australia",-20 58 53.1,117 05 49.8,109.1
264,FLIN,A,40135M001,"CFS Flin Flon, Canada",54 43 32.1,258 01 19.0,311.5
265,ALGO,A,40104M002,"ALGONQUIN PARK, CANADA",45 57 20.8,281 55 43.0,200.9
266,PIN1,B,40407M003,PIN1,33 36 43.7,243 32 30.6,1256.2
267,GUS2,A,49802S002,Gustavus 2,58 25 03.9,224 18 10.6,20
268,VIC1,A,49869S001,Vicksburg 1,32 19 53.1,269 04 48.7,9.6
269,PUR2,A,82001M001,Puerto Rico 2,18 27 47.4,292 55 59.3,89
270,MLF2,A,77000P756,Millers Ferry 2,32 05 25.8,272 36 28.0,29.2
271,ANTO,A,49581S002,San Antonio RRP,29 29 28.3,261 25 24.0,263.8
272,PASO,A,49437S001,El Paso RRP,31 46 11.1,253 35 09.8,1113.3
273,ROCH,A,40486M001,Pinemeadow PGGA Calif,33 36 39.6,243 23 24.8,1393.7
274,BEA5,A,49580M001,Beaumont RRP,30 09 42.1,265 49 13.0,-11.9
275,WIL1,A,49464M001,Wilkes Barre,41 18 18.9,283 59 04.8,384.4
276,PIT1,A,49850S001,Pittsburgh,40 33 03.7,280 18 09.9,353
277,EBRE,A,13410M001,"EBRE,SPAIN",40 49 15.1,0 29 32.5,107.8
278,PUR3,A,82001S003,Puerto Rico 3,18 27 46.7,292 55 58.9,89.5
279,TORP,A,49912M001,Torrance Ariport,33 47 52.0,241 40 09.8,-5.2
280,MADR,A,13407S012,"ROBLEDO, SPAIN",40 25 44.9,355 45 01.2,829.4
281,EKY1,A,49444S001,Egmont Key 1,27 36 01.5,277 14 22.8,-18.5
282,PIN2,A,40407M004,"Pinyon Flat, CA, USA",33 36 43.7,243 32 32.5,1258.2
283,AUS5,A,49579S002,Austin RRP,30 18 42.1,262 14 37.2,192.6
284,DET1,A,49854S001,Detroit 1,42 17 50.4,276 54 16.9,145
285,SUTB,A,49434M001,Sutter Buttes,39 12 21.0,238 10 45.8,616.6
286,ROCK,A,40478M002,"Simi Valley, CA",34 14 08.4,241 19 24.8,553.4
287,MEDI,A,12711M003,"Medicina, Italy",44 31 11.8,11 38 48.5,49.7
288,RBUT,A,49885S001,Red Butte,40 46 51.8,248 11 28.4,1667.8
289,YOU1,A,49849S001,Youngstown 1,43 13 52.5,281 01 47.3,61.2
290,RIC1,A,49848S001,Richmond 1,37 32 16.4,282 34 13.2,55.5
291,USNO,A,40451S003,"Washington, USA",38 55 08.2,282 56 01.5,48.9
292,NICO,A,14302M001,"Nicosia, Cyprus",35 08 27.5,33 23 47.2,190
293,GWEN,A,49888S001,Appleton 1,45 46 57.4,238 40 20.7,732.3
294,HOB2,A,50116M004,"Hobart, Australia",-42 48 16.9,147 26 19.4,41.1
295,JTNT,A,49881S001,Jayton,33 01 01.9,259 01 22.2,684.5
296,PATT,A,49876S001,Palestine,31 46 41.7,264 16 53.3,94.9
297,WNFL,A,49488M001,Winnfield,31 53 50.0,267 13 05.1,68
298,EKY1,A,49444S001,Egmont Key 1,27 36 01.5,277 14 22.8,-18.5
299,WES2,A,40440S020,"Westford, USA",42 36 48.0,288 30 24.0,85
300,SELE,A,12352M001,"Almaty, Kazakstan",43 10 43.4,77 01 00.8,1342
301,GDAC,A,49882S001,Granada,37 46 31.6,257 49 11.9,1134.3
302,CHAB,A,77000P238,CHAB_BARD_CN1991,37 43 26.8,237 52 50.4,214
303,SOFI,A,11101M002,"Sofia, Bulgaria",42 33 21.9,23 23 41.0,1119.5
304,HNLC,A,49970S001,"Honolulu, USA",21 18 11.8,202 08 07.6,22
305,MEDI,A,12711M003,"Medicina, Italy",44 31 11.8,11 38 48.5,50
306,WHIT,A,40136M001,"WHITEHORSE, CANADA",60 45 01.8,224 46 40.3,1427.4
307,WSRT,A,13506M005,"Westerbork, The Nether",52 54 52.6,6 36 16.2,82.3
308,ASHV,A,49853S001,Asheville,35 35 58.0,277 27 13.6,659.2
309,CHB1,A,49856S001,Cheboygan 1,45 39 12.5,275 32 03.6,145
310,WES2,A,40440S020,"Westford, USA",42 36 48.0,288 30 24.0,85
311,WLSN,A,40400M101,"Mt. Wilson Obs., CA",34 13 34.0,241 56 38.7,1705.2
312,ZECK,A,12351M001,"Zelenchukskaya, Russia",43 47 18.2,41 33 54.2,1166.3
313,CHUM,A,25601M001,"Chumysh, Kazakhstan",42 59 54.6,74 45 03.9,716.3
314,YBHB,A,77001P902,"Yreka, CA -- Yreka Blu",41 43 53.9,237 17 21.3,1065.7
